B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,GEO_ID,GEOID,NAME
Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",id,id2,Geographic Area Name
2451,194,2366,196,1894,235,124,88,0,95,228,125,16,25,0,95,104,86,0,95,104,86,85,70,68,66,0,95,0,95,0,95,0,95,0,95,17,20,7,12,10,17,1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California"
2103,142,1914,169,1470,214,72,49,13,21,232,111,0,95,10,14,117,83,0,95,117,83,189,144,94,77,0,95,0,95,0,95,0,95,0,95,95,124,85,125,10,15,1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California"
5088,370,4627,350,3542,319,584,133,39,49,291,119,0,95,0,95,171,104,0,95,171,104,461,168,316,155,0,95,0,95,13,19,0,95,109,75,23,32,4,12,19,30,1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California"
3943,427,3493,435,2624,420,339,84,29,45,158,70,0,95,65,71,278,108,8,14,270,104,450,172,379,160,14,16,0,95,0,95,0,95,49,85,8,15,0,95,8,15,1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California"
3481,319,3120,342,1668,204,1066,285,11,18,186,108,0,95,14,19,175,111,31,42,144,98,361,133,216,118,0,95,8,12,0,95,0,95,83,80,54,50,9,15,45,48,1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California"
1707,188,1607,187,456,152,963,217,0,95,49,54,0,95,0,95,139,107,0,95,139,107,100,69,48,40,0,95,4,13,0,95,0,95,48,59,0,95,0,95,0,95,1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California"
4077,516,3929,511,1228,254,1866,420,0,95,453,283,0,95,32,47,350,277,205,288,145,118,148,96,75,53,73,62,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California"
3021,450,2648,424,972,184,1174,323,0,95,314,130,9,14,15,22,164,139,0,95,164,139,373,184,236,160,0,95,0,95,13,21,0,95,124,103,0,95,0,95,0,95,1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California"
2444,348,2321,340,1047,206,1205,299,0,95,51,52,0,95,18,33,0,95,0,95,0,95,123,80,109,79,0,95,0,95,0,95,0,95,14,23,0,95,0,95,0,95,1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California"
5053,485,4777,518,959,238,3177,408,0,95,366,226,0,95,75,123,200,167,0,95,200,167,276,127,237,140,0,95,0,95,0,95,0,95,39,84,0,95,0,95,0,95,1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California"
4145,407,3346,393,1799,245,840,256,43,46,512,244,36,58,0,95,116,63,0,95,116,63,799,294,635,301,0,95,0,95,37,46,0,95,54,50,73,55,44,41,29,35,1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California"
2446,171,2250,194,1452,171,431,195,0,95,277,137,40,55,0,95,50,45,0,95,50,45,196,123,118,97,0,95,0,95,0,95,0,95,15,17,63,63,29,43,34,51,1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California"
3521,387,2676,324,826,252,1237,276,14,18,545,235,1,2,0,95,53,47,10,16,43,43,845,218,652,182,2,4,0,95,0,95,0,95,114,121,77,97,24,28,53,93,1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California"
3729,665,3216,508,562,278,1974,365,19,33,543,245,0,95,39,45,79,100,0,95,79,100,513,531,215,190,0,95,0,95,0,95,0,95,298,504,0,95,0,95,0,95,1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California"
1702,287,1473,306,334,129,924,278,0,95,166,100,0,95,0,95,49,41,0,95,49,41,229,133,209,134,0,95,0,95,0,95,0,95,20,16,0,95,0,95,0,95,1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California"
2065,361,1885,368,223,123,1228,344,0,95,409,221,0,95,0,95,25,39,0,95,25,39,180,99,102,94,33,40,0,95,0,95,0,95,45,50,0,95,0,95,0,95,1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California"
2483,504,1459,232,311,117,761,190,0,95,308,148,0,95,10,17,69,72,0,95,69,72,1024,494,465,337,0,95,0,95,0,95,0,95,559,544,0,95,0,95,0,95,1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California"
1528,376,1367,396,304,278,1015,330,0,95,48,47,0,95,0,95,0,95,0,95,0,95,161,147,133,146,0,95,1,2,0,95,0,95,27,43,0,95,0,95,0,95,1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California"
2161,365,1509,257,362,126,857,205,9,13,204,113,15,20,0,95,62,60,0,95,62,60,652,288,468,271,2,4,0,95,0,95,0,95,182,196,0,95,0,95,0,95,1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California"
2442,404,2252,400,324,116,1524,400,18,31,162,78,0,95,114,173,110,76,0,95,110,76,190,143,119,98,0,95,0,95,0,95,0,95,13,22,58,100,0,95,58,100,1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California"
1991,334,1713,272,150,114,1265,271,13,19,221,149,0,95,0,95,64,60,2,7,62,60,278,183,115,131,7,11,0,95,0,95,0,95,16,30,140,174,109,170,31,35,1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California"
899,105,852,119,180,89,245,103,4,7,423,113,0,95,0,95,0,95,0,95,0,95,47,69,34,67,0,95,0,95,0,95,0,95,13,18,0,95,0,95,0,95,1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California"
1490,265,1235,273,156,114,985,253,6,10,88,114,0,95,0,95,0,95,0,95,0,95,255,175,227,178,0,95,0,95,0,95,0,95,0,95,28,30,0,95,28,30,1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California"
2400,272,2215,225,712,167,923,161,0,95,453,127,3,6,4,9,120,88,0,95,120,88,185,109,110,69,0,95,0,95,8,14,0,95,59,71,8,9,4,9,4,9,1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California"
1163,167,1089,154,236,63,170,109,0,95,663,116,0,95,0,95,20,20,0,95,20,20,74,51,33,25,0,95,0,95,0,95,0,95,30,35,11,16,0,95,11,16,1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California"
2267,279,2151,315,141,87,70,72,50,43,1830,299,0,95,0,95,60,84,0,95,60,84,116,125,116,125,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California"
1420,239,1264,208,238,68,293,126,8,15,622,138,0,95,0,95,103,81,7,13,96,78,156,118,78,88,0,95,0,95,0,95,0,95,78,69,0,95,0,95,0,95,1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California"
4061,504,3884,505,1159,239,250,189,0,95,2376,492,0,95,0,95,99,76,38,62,61,44,177,137,61,69,0,95,0,95,0,95,0,95,116,128,0,95,0,95,0,95,1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California"
4395,480,3781,374,1600,297,830,188,45,57,1121,213,0,95,0,95,185,94,0,95,185,94,614,499,349,242,0,95,0,95,0,95,0,95,252,355,13,31,13,31,0,95,1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California"
4893,572,4363,492,1949,443,907,318,11,17,1278,406,37,51,13,21,168,107,0,95,168,107,530,269,190,98,147,213,13,20,0,95,0,95,0,95,180,105,160,105,20,31,1400000US06001403501,06001403501,"Census Tract 4035.01, Alameda County, California"
1991,264,1695,254,854,228,491,130,0,95,212,129,0,95,0,95,138,91,0,95,138,91,296,133,89,77,41,59,0,95,91,76,0,95,35,34,40,57,40,57,0,95,1400000US06001403502,06001403502,"Census Tract 4035.02, Alameda County, California"
4835,534,4360,520,1244,191,1605,429,8,16,888,268,0,95,58,73,557,344,0,95,557,344,475,236,233,118,0,95,0,95,0,95,0,95,138,161,104,141,75,97,29,45,1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California"
2506,238,2348,242,1380,193,478,149,0,95,298,167,0,95,95,96,97,84,0,95,97,84,158,74,65,55,49,44,0,95,0,95,0,95,14,24,30,34,30,34,0,95,1400000US06001403701,06001403701,"Census Tract 4037.01, Alameda County, California"
1897,303,1722,263,1000,221,383,204,0,95,233,131,0,95,0,95,106,105,0,95,106,105,175,103,113,82,0,95,0,95,34,57,0,95,28,41,0,95,0,95,0,95,1400000US06001403702,06001403702,"Census Tract 4037.02, Alameda County, California"
3657,224,3138,242,2236,238,319,105,0,95,388,140,0,95,21,24,174,76,0,95,174,76,519,216,316,212,132,111,0,95,0,95,0,95,35,33,36,32,12,18,24,26,1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California"
3916,313,3665,335,2081,275,866,322,0,95,500,129,0,95,30,33,188,107,0,95,188,107,251,124,202,108,14,26,0,95,0,95,0,95,35,45,0,95,0,95,0,95,1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California"
2623,276,2332,262,1490,237,373,232,0,95,323,159,0,95,0,95,146,68,0,95,146,68,291,116,117,59,0,95,0,95,0,95,0,95,105,78,69,50,25,39,44,37,1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California"
2912,270,2617,284,2076,248,20,30,0,95,412,173,0,95,0,95,109,89,0,95,109,89,295,175,279,173,0,95,0,95,0,95,0,95,15,25,1,3,0,95,1,3,1400000US06001404101,06001404101,"Census Tract 4041.01, Alameda County, California"
2482,258,2332,274,1502,216,171,124,0,95,502,227,0,95,22,42,135,106,0,95,135,106,150,73,48,35,0,95,11,19,19,29,0,95,21,32,51,48,36,41,15,26,1400000US06001404102,06001404102,"Census Tract 4041.02, Alameda County, California"
3402,222,3041,249,2168,213,177,131,0,95,408,125,0,95,0,95,288,169,0,95,288,169,361,128,338,126,0,95,12,18,0,95,0,95,11,18,0,95,0,95,0,95,1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California"
3216,202,3116,201,2517,258,71,79,0,95,353,146,0,95,0,95,175,106,0,95,175,106,100,69,88,66,0,95,0,95,0,95,0,95,12,18,0,95,0,95,0,95,1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California"
5255,319,4939,348,3483,327,173,150,0,95,740,160,0,95,112,132,431,207,0,95,431,207,316,171,263,154,0,95,0,95,0,95,0,95,53,82,0,95,0,95,0,95,1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California"
1719,101,1696,111,1382,156,28,37,0,95,200,135,0,95,4,9,82,67,4,12,78,66,23,29,23,29,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California"
5915,413,5605,389,4530,451,116,117,0,95,560,177,0,95,215,262,184,113,0,95,184,113,310,285,214,248,0,95,0,95,37,60,0,95,59,63,0,95,0,95,0,95,1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California"
4449,265,4334,267,3311,249,399,226,0,95,419,167,0,95,0,95,205,112,0,95,205,112,115,92,97,89,0,95,9,16,9,14,0,95,0,95,0,95,0,95,0,95,1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California"
2038,128,1954,119,1498,199,213,126,0,95,185,95,0,95,0,95,58,56,0,95,58,56,84,75,84,75,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California"
2637,206,2407,283,1104,295,635,291,0,95,668,323,0,95,0,95,0,95,0,95,0,95,230,141,63,47,16,22,0,95,0,95,0,95,37,43,114,121,104,122,10,20,1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California"
4556,382,4143,404,2262,268,479,209,11,17,1152,388,52,80,0,95,187,99,0,95,187,99,413,141,168,94,0,95,0,95,59,65,0,95,26,28,160,101,149,101,11,19,1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California"
3275,289,3019,349,2063,315,396,294,35,38,410,117,0,95,28,45,87,74,33,53,54,52,256,185,216,181,0,95,25,30,0,95,0,95,15,24,0,95,0,95,0,95,1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California"
4261,352,4056,351,3031,316,447,157,45,60,287,117,0,95,19,30,227,79,0,95,227,79,205,103,176,104,0,95,0,95,0,95,0,95,12,19,17,18,9,14,8,13,1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California"
4522,379,4073,362,1632,319,744,268,0,95,1373,292,0,95,122,143,202,120,0,95,202,120,449,149,299,127,15,24,0,95,15,23,0,95,37,33,83,98,11,18,72,97,1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California"
2660,204,2273,250,1266,221,707,212,0,95,266,124,0,95,0,95,34,40,0,95,34,40,387,168,164,129,24,40,0,95,0,95,0,95,154,148,45,61,32,57,13,21,1400000US06001405301,06001405301,"Census Tract 4053.01, Alameda County, California"
2703,312,1884,233,671,172,431,106,0,95,708,272,0,95,39,58,35,34,17,25,18,23,819,201,197,129,0,95,0,95,0,95,0,95,622,160,0,95,0,95,0,95,1400000US06001405302,06001405302,"Census Tract 4053.02, Alameda County, California"
3823,506,2653,371,252,108,939,285,0,95,1311,317,10,18,28,34,113,118,0,95,113,118,1170,370,723,372,0,95,10,20,41,68,0,95,264,205,132,151,112,149,20,29,1400000US06001405401,06001405401,"Census Tract 4054.01, Alameda County, California"
2559,461,2011,409,470,211,573,194,0,95,930,283,0,95,38,58,0,95,0,95,0,95,548,430,282,314,0,95,0,95,0,95,0,95,266,280,0,95,0,95,0,95,1400000US06001405402,06001405402,"Census Tract 4054.02, Alameda County, California"
3627,460,3139,448,788,352,621,149,50,67,1616,361,0,95,0,95,64,51,19,31,45,40,488,192,232,110,0,95,0,95,0,95,0,95,101,114,155,143,119,137,36,32,1400000US06001405500,06001405500,"Census Tract 4055, Alameda County, California"
3083,365,2694,278,478,137,879,213,21,20,1261,167,0,95,0,95,55,46,5,9,50,44,389,255,300,256,0,95,0,95,0,95,0,95,58,46,31,47,31,47,0,95,1400000US06001405600,06001405600,"Census Tract 4056, Alameda County, California"
3039,397,2584,338,376,154,1031,277,0,95,1103,209,0,95,0,95,74,57,0,95,74,57,455,227,204,190,0,95,0,95,0,95,0,95,189,135,62,59,0,95,62,59,1400000US06001405700,06001405700,"Census Tract 4057, Alameda County, California"
3962,523,3335,458,285,185,633,215,0,95,2099,390,220,319,0,95,98,113,0,95,98,113,627,252,252,165,32,36,0,95,0,95,0,95,343,203,0,95,0,95,0,95,1400000US06001405800,06001405800,"Census Tract 4058, Alameda County, California"
3524,540,2236,443,294,246,324,151,0,95,1294,442,272,211,0,95,52,78,0,95,52,78,1288,435,437,319,0,95,74,109,0,95,12,26,739,392,26,43,26,43,0,95,1400000US06001405901,06001405901,"Census Tract 4059.01, Alameda County, California"
3309,457,2450,377,276,271,575,321,0,95,1497,362,0,95,0,95,102,97,0,95,102,97,859,495,356,240,126,156,0,95,0,95,0,95,202,165,175,217,0,95,175,217,1400000US06001405902,06001405902,"Census Tract 4059.02, Alameda County, California"
3299,513,2343,368,500,226,614,219,23,32,1019,258,109,162,0,95,78,58,0,95,78,58,956,536,184,128,0,95,28,44,0,95,0,95,698,515,46,70,46,70,0,95,1400000US06001406000,06001406000,"Census Tract 4060, Alameda County, California"
3789,531,1406,235,427,144,322,190,12,20,645,207,0,95,0,95,0,95,0,95,0,95,2383,498,1124,469,0,95,14,22,0,95,3,8,1205,439,37,42,24,39,13,17,1400000US06001406100,06001406100,"Census Tract 4061, Alameda County, California"
5205,633,2487,488,54,38,853,260,15,24,1389,408,0,95,163,244,13,18,0,95,13,18,2718,542,1569,458,36,41,0,95,7,10,0,95,946,469,160,140,126,129,34,53,1400000US06001406201,06001406201,"Census Tract 4062.01, Alameda County, California"
4227,583,1743,422,266,97,348,180,0,95,769,270,159,235,70,115,131,97,0,95,131,97,2484,526,922,400,0,95,40,60,0,95,0,95,1483,456,39,52,39,52,0,95,1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California"
4210,675,3022,564,382,137,1084,462,0,95,1444,451,4,10,0,95,108,110,0,95,108,110,1188,347,502,268,2,7,0,95,6,12,0,95,678,318,0,95,0,95,0,95,1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California"
2448,362,1917,292,549,180,791,235,0,95,539,123,0,95,0,95,38,24,0,95,38,24,531,271,252,227,22,25,22,23,0,95,0,95,167,122,68,58,58,53,10,22,1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California"
5776,620,3462,380,721,155,1217,235,0,95,1150,246,136,198,0,95,238,180,0,95,238,180,2314,494,1268,489,0,95,8,13,0,95,0,95,945,365,93,95,74,92,19,21,1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California"
4662,484,3863,539,790,251,1421,307,31,47,1304,501,0,95,16,25,301,157,121,108,180,119,799,343,191,161,0,95,12,20,0,95,0,95,546,318,50,85,50,85,0,95,1400000US06001406601,06001406601,"Census Tract 4066.01, Alameda County, California"
2273,295,1614,404,487,261,679,383,0,95,396,207,0,95,0,95,52,60,0,95,52,60,659,404,413,363,112,184,71,108,0,95,0,95,43,76,20,33,0,95,20,33,1400000US06001406602,06001406602,"Census Tract 4066.02, Alameda County, California"
5084,353,4692,377,2527,286,580,226,60,84,1298,282,0,95,54,84,173,116,0,95,173,116,392,136,230,135,0,95,0,95,0,95,0,95,162,117,0,95,0,95,0,95,1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California"
3538,349,3009,387,1289,223,754,324,0,95,859,324,0,95,0,95,107,94,0,95,107,94,529,251,344,226,0,95,0,95,11,17,0,95,137,141,37,32,26,28,11,18,1400000US06001406800,06001406800,"Census Tract 4068, Alameda County, California"
3883,315,3257,265,1278,196,793,185,12,17,981,221,0,95,0,95,193,130,0,95,193,130,626,249,446,249,0,95,0,95,0,95,0,95,138,86,42,47,0,95,42,47,1400000US06001406900,06001406900,"Census Tract 4069, Alameda County, California"
6000,702,4481,598,863,314,1480,451,3,6,2017,396,1,5,0,95,117,93,0,95,117,93,1519,458,923,392,0,95,0,95,0,95,0,95,521,353,75,65,23,37,52,55,1400000US06001407000,06001407000,"Census Tract 4070, Alameda County, California"
3715,521,1802,471,186,113,504,209,32,28,758,381,58,116,136,125,128,97,0,95,128,97,1913,545,1127,590,0,95,0,95,0,95,0,95,786,527,0,95,0,95,0,95,1400000US06001407101,06001407101,"Census Tract 4071.01, Alameda County, California"
4019,693,1832,383,263,111,660,261,0,95,709,261,0,95,0,95,200,149,0,95,200,149,2187,559,1098,640,41,78,12,21,0,95,0,95,920,392,116,166,0,95,116,166,1400000US06001407102,06001407102,"Census Tract 4071.02, Alameda County, California"
5984,712,1314,395,360,179,364,163,0,95,536,299,25,40,29,46,0,95,0,95,0,95,4670,760,1922,665,0,95,164,149,9,15,0,95,2357,743,218,165,93,107,125,122,1400000US06001407200,06001407200,"Census Tract 4072, Alameda County, California"
2768,466,1131,241,182,92,519,244,45,54,244,205,32,169,86,90,23,26,13,20,10,16,1637,460,1054,564,12,20,200,183,0,95,0,95,371,276,0,95,0,95,0,95,1400000US06001407300,06001407300,"Census Tract 4073, Alameda County, California"
4129,638,1205,232,114,94,695,190,0,95,372,120,0,95,0,95,24,36,0,95,24,36,2924,604,1380,561,0,95,0,95,112,161,0,95,1285,540,147,136,14,21,133,133,1400000US06001407400,06001407400,"Census Tract 4074, Alameda County, California"
